nieuwe straatnaam,oude straatnamen
Izegemsestraat,Chemin vinical à Lendelede et Iseghem dite de WatermolenstraeteIseghemstraet of   
Jakob Vandervaetstraat,Verbekensreke 
Jakob Vandervaetstraat,Verbekestraat 
Jakob Vandervaetstraat,Molenstraat 
Jakob Vandervaetstraat,Hugo Verrieststraat 
Kleine Iepersestraat,Kleine Ieperstraat 
Koffiestraat,Molendreef  of   
Koffiestraat,Caféstraat 
Koning Boudewijnlaan,Boudewijnlaan 
Koning Leopold II-laan,Leopoldlaan 
Koning Leopold II-laan,Koning Leopoldlaan 
Koorntas,
Kortrijksestraat,Strate alzo men gaet te Leyaerde waert 
Kortrijksestraat,Rousselaerstraete 
Kortrijksestraat,Kortrijkstraet of   
Kortrijksestraat,Kalsijde van Kortrijk 
Kortrijksestraat,Kortrijkstraat 
Kouter,
Kransvijver,Crampsviver 
Kromme Meers,
Kromme Olm,
Laagweide,
Lagaeplein,
Lage Dreef,Wittestraat  of   
Lage Dreef,Leege Dreef 
Lage Dreef,Lege Dreef 
Lenteleven,
Leynvaalsstraat,
Lijsternest,
Losschaert,
Magerstraat,Maegerstraetgen 
Magerstraat,Straete leedende van het Poucke goet naer Cortryck 
Magerstraat,Magerstraet of   
Magerstraat,Magerschapraaistraat 
Meelbesdreef,
Meidoorn,
Mellestraat,Mellestraete 
Mellestraat,Straete leedende van de Kercke naer Sint Antheunis capellekenMellestraet of  
Molenstraat,Zevekoteweg of   
Moorseelsestraat,Zie Moorseelsestraat BissegemGrooten Yperweg of  bis 
Moorseelsestraat,Chemin de Terre à Gulleghem 
Najaar,
Noordlaan,
Oogststraat,Gulleghemstraete 
Oogststraat,Gulleghemstraet of   
Oogststraat,Veldstraat 
Oude Ieperseweg,Strate alzo men gaet te Ypere waert 
Oude Ieperseweg,Strate van Yper naer Corteryck 
Oude Ieperseweg,Grooten Yperweg of   
Oude Ieperseweg,"Ieperstraat , Iepersestraat "
Pachthofstraat,Gemeenhofstraet of   
Pachthofstraat,Boerderijstraat 
Pastorieplein,
Pastoriestraat,Roeselaerstraat of   
Pastoriestraat,Pastorijstraat 
Peperstraat,Peperstraetken 
Peperstraat,Peperstraet of   
Peperstraat,Krakeelstraat
Pieter Verhaeghestraat,Lange Dreef  of   
Pieter Verhaeghestraat,Verhaeghestraat
René Declercqlaan,
Ringlaan,
Roeselaarsestraat,Strate alzo men gaet van Huele te Roeseleere waert 
Roeselaarsestraat,Rousselaerestraete 
Roeselaarsestraat,Roeselaerstraet  of   
Roeselaarsestraat,Roeselarestraat
Schakeldries,
Schoolstraat,
Sentestraat,  
Sentestraat,Sint Katherine Kapelstraat 
Sentestraat,Kapelstraat
Sint-Godelievestraat,Meulenvoetwegh 
Sint-Godelievestraat,Molenweg of   
Sint-Godelievestraat,Nieuwestraat 
Sint-Joblaan,
Sint-Katharinastraat,Kalsijde naer Ste - Cathanina 
Sint-Katharinastraat,Sint - Catherinestraat 
Slagling,
Stadelaan,Slachthuisstraat 
Stadelaan,Vredelaan 
Steenstraat,Steenstraet of   
Steenstraat,Roeselaarestraet 
Stijn Streuvelslaan,Gangsche 
Stijn Streuvelslaan,Zuidstraat 
Stoppel,
Tinekenslaan,Tinekelaan 
't Mezennestje,
't Ranke Riet,
Veldolm,
Vier Linden,Begijnhofstraat of   of Vier Linden 
Vier Linden,Vier Lindenstraat 
Vlaanderenstraat,
Vlasbloemstraat,Zevekoteweg of   
Vlasbloemstraat,Vlasbloem 
Vlaschaard,Vlasschaerd 
Vlasmolenstraat,Lindedreef of   
Vlasmolenstraat,Lindendreef 
Vlasrootstraat,SteenstraatRoterijstraat 
Warande,Warandedreef of   
Warande,Warandestraat 
Waterhoek,
Waterleikens,
Watermolenwal,Watermolenweg of   
Watermolenwal,Bostaardvoetweg 
Watermolenwal,Watermolenstraat
Waterputweg,Waterputweg of   
Winterland,
Wittestraat,Lookerstraete 
Wittestraat,Wittestraet of   
Wouter Schoutstraat,Kapelstraat of   
Wouter Schoutstraat,Steuren Ambachtstraat 
Wouter Schoutstraat,Steuren Ambacht 
Zeger van Heulestraat,Strate also men gaet te Hove te Heule waert 
Zeger van Heulestraat,Hoge Dreef of   
Zeger van Heulestraat,Kleine Harelbekestraat 
Zeger van Heulestraat,Statiestraat 
Zeger van Heulestraat,Harelbekestraat 
Zomertij,
Zuidstraat,Grooten Yperweg of  bis 
Zuidstraat,Ieperstraat
Zwingelaarsstraat,Zwingelaarsstraat 
Argendaalstraat,Meulenstraetken  
Argendaalstraat,Lijckstraetken 
Argendaalstraat,Lijckstraet  of   
Aubettestraat,Hobettestraet  of   
Ballingstraat,
Beekweg,Langenweg  of   
Beerbosstraat,Grote Sint-Denijsstraat 
Bellegemkerkdreef,Kerkdreef of   
Bellegemplaats,Plaats 
Bellegemplaats, met groot verkeer nr. 
Bellegemsestraat,Straete van Belleghem naer Sweveghem 
Bellegemsestraat,Nieuwe Kalsijde  
Bellegemsestraat,Nieuwstraat 
Boskariere,Ballynckstraete 
Boskariere,Bosch Carrière of   
Boskariere,Bosstraat 
Bredenmolenweg,Muelenstraetkin 
Bredenmolenweg,Meulenweg 
Bredenmolenweg,Le Chemin du Vieux - Moulin 
Bredenmolenweg,Bredemolenweg of   
Bredenmolenweg,Katteweg of    gedeelte tussen   en Kaba -ret De Katte
Burg. Vandemeulebroeckestr.,
Doornikserijksweg,Herstrate van Cortryck nar Doornick 
Doornikserijksweg,steenwegh van Cortryck naer DoornickDoornikstraat 
Doornikserijksweg,Kortrijkstraat 
Dottenijsestraat,Puytstratien 
Dottenijsestraat,Kerckenvoetwegh leendende naer Belleghem 
Dottenijsestraat,Chemin de l'hopital of  Dottenijsstraat 
Dries,Lentewijk 
Einde Munkendoornstraat,Eynde Muynckendoornstraet  
Gareelmakersstraat,Klaverstraat 
Groenweg,Groenedreef of   
Grotestraat,Straete naer Dottenys 
Grotestraat,Groote Straete 
Grotestraat,Grand Chemin de Dottignies of    
Hermitagelaan,Nachtegalelaan 
Hoevedreef,Beekweg of  
Ijzerhandstraat,
Jules Baertstraat,Daliastraat 
Kantineweg,Kantinewegelken of   
Kapelweg,Sint - Annaweg of    
Kapelweg,Sint - Annastraat 
Keizerweg ,
Kleine Kannestraat,Jean Marie t'Chyon of   
Kleine Kannestraat,Kannestraat
Klijthofstraat,Peperstraat  of   
Klijthofstraat,Wandelingstraat 
Klijthofstraat, zuidelijk deel
Klompenmakersstraat,Gerstestraat 
Kloosterdreef,
Kortestraat,
Kreupelstraat,Straete naer Sweveghem 
Kreupelstraat,Sweveghemstraet 
Kromwegelke,Keizerweg of  
Kwabrugstraat,Mortagnestraete 
Kwabrugstraat,Straete naer Rolleghem - Straete naer de Quaede BruggheQuaedebrugghestraete 
Kwabrugstraat,Grand Chemin de Dottignies of BW  - Kalottestraet 
Kwabrugstraat,Caloutestraete 
Kwabrugstraat, - Cornilweg of BW  - KwabrugstraetMoeskroenstraat 
Kwademeers,Zwevegembinnenweg of   
Laatste Oordje,Strate van Ste Denys naer Cortryck 
Laatste Oordje,Straete van het Hooge geseyt de Clyte 
Laatste Oordje,Sint - Denijsstraat of   
Labroyeweg,
Leemputstraat,
Leuzestraat,Luyzestraete 
Leuzestraat,Voetwegh naer het Iseren Handt 
Leuzestraat,Straete aen den Belleghem bosch 
Leuzestraat,Luizenstraat 
Leuzestraat,Leuzestraat of  
Mandenmakersstraat,Roggestraat 
Manpad,
Manpadstraat,Manpade 
Manpadstraat,Manpat 
Manpadstraat, 
Mergelstraat,
Mortagnelaan,Rollegemcarriere of   
Munkendoornstraat,Munckdoor
Munkendoornstraat,straete 
Munkendoornstraat,Buckendoornstraete 
Munkendoornstraat,Munckendoornstraete 
Munkendoornstraat,Muynckendornstraet of   
Ooievaarsnest,Menutestraetien 
Ooievaarsnest,Peperstraat of   
Ooievaarsnest,Wandelingstraat 
Perykelstraat,Clapperyestraete leedende van het Wit Huys naer de Capelle te Clyte en ' t Goet te Cantine 
Perykelstraat,Perykelstraete komende vanden steenwegh en loopende naer Sinte Denys 
Perykelstraat, Perykelstraete komende vanden steenwegh en loopende naer de dry Linden op Sinte Denys 
Perykelstraat,Kleine Perykelstraet 
Perykelstraat,Cantinestraet 
Priesteragestraat,Pastoriestraat 
Processiestraat,Processiestraat of   
Processiestraat,Kasteeldreve of   
Puttensweg, 
Rejettestraat,Straete naer Coyghem 
Rejettestraat,Rejetteweg of   
Rollegemsestraat,Nieuwestraat of   
Rollegemsestraat,Rollegemstraat 
Ronsevaalstraat,Oude Aardestraat 
Ronsevaalstraat,Ronchevalstraete 
Ronsevaalstraat,Oudenaerdestraet of    
Roodhuisweg,Roodhuiswegel of   
Roodhuisweg,Sint -Pietersweg 
Sasboslaan,Merellaan en Fazantenlaan 
Sint-Amandsdreef,
Sint-Leonardusstraat,
Sint-Pietersweg,  
Sint-Pietersweg,Hoogwegelken of  
Stadionstraat,
Steenlandermeers,Boelaenstraete of Boelantstraetkin 
Steenlandermeers,Straete van 't Goet te Mortaigne naer 't Oude Hof van Bellegem 
Steenlandermeers,Manpadstraat of   
Steenlandermeers,Veldstraat 
Steenlandermeers,Steenlandermeers 
Straatje,Kerckstraete 
Straatje,Straatjen of   
Straatje,Molenstraetjen of   
Tobergse,Lijsterlaan 
Tonnenmakersstraat,Lauwekeyzers of  Voetweg  
Tonnenmakersstraat,Tarwestraat 
't Rode Paard,
Volksberg,
Walleweg,Walle Straete 
Walleweg,Wallestraat of   
Walleweg,Statiestraat 
Yserbytdreef,Tontestraetken 
Yserbytdreef,Dreef Yserbyt of   
Yserbytdreef,Dreef Ten Akker 
Zwingelhoek,Zwingelweg of   
Woonwagen,
Aalbeeksestraat,  
Aalbeeksestraat,Capellestraet 
Aalbeeksestraat,Aalbekestraat 
Beekweg,Fabriekweg of  
Beekweg,Beekstraat
Begoniapark,
Bellegemseweg,Bellegemstraet of   
Binnenstraat,Straete naer Aelbeke 
Candeléstraat,Straete van Tombrouck naer 't Hooghe en Ronsevael 
Candeléstraat,Straete naer Dottignies 
Candeléstraat,Dottenijsstraat 
Eikendreef,
Einde Munkendoornstraat,Eynde Muynckendoornstraet of   
Elleboogstraat,
Foreststraat,Leenstraete 
Foreststraat,Foreeststraete 
Foreststraat,Moeskroenweg of   
Groene Dreef,Groenestraet of  Dreefstraet 
Hoevedreef,
Kannestraat ,Grote kannestraat of  
Kastanjedreef,
Klijtbergstraat,Waeterstraete 
Klijtbergstraat,Klijtbergstraete of   
Klijtbergstraat,Clytbergh en Clytgat 
Kwabrugstraat,
Lampestraat),Kreupelstraat 
Lampestraat),Lampestraat 
Lampestraat),Kreupelstraat 
Lampestraat),Sint - Annastraat 
Lanteweg,Meulendam 
Lindendreef,
Marksestraat,Marckestraete of   
Marksestraat,Markestraat
Moeskroensestraat,Straetken loopende naer Foreest ghenaempt de Leenstraete 
Moeskroensestraat,Leenstraete 
Moeskroensestraat,Cruusstraete 
Moeskroensestraat,Kwaedebrugstraete of   
Moeskroensestraat,Sentier de Mouscron 
Moeskroensestraat,Zevekootestraat 
Moeskroensestraat,Moeskroenstraat 
Molenkouter,Meulenwegh die van de den meulen westwaert gaet 
Molenkouter,Molenstraetje of   
Molenkouter,Molenstraat
Mortagnestraat, 
Munkendoornstraat,
Oude Aalbeeksestraat,Strate naer de Schreiboom 
Oude Aalbeeksestraat,Marckestraat of   
Oude Bellegemsestraat,Bellegemstraat 
Rode-Beukendreef,Beukendreef 
Rollegemkerkstraat,Marksestraat  of   
Rollegemkerkstraat,Sterreweg of   
Rollegemknokstraat,Elleboogstratken 
Rollegemknokstraat,Kleine Kannestraat of   
Rollegemknokstraat,Knokstraat
Rollegemplaats,Plaetse 
Rollegemseweg,
Rozenpark,
Schreiboomstraat,Straete loopende van Tombrouc naer den Sceijboom 
Schreiboomstraat,  
Schreiboomstraat,Schreiboomstraet
Segersweg, 
Sint-Anna,
Schepenhuisstraat,Wethuisstraat 
Tombroekmolenstraat,Straete van Tombrouck naer de Lerberghstraete 
Tombroekmolenstraat,Tombrouck Molenstraete of   
Tombroekmolenstraat,Molenstraat
Tombroekstraat,Tombrouckstraete of Straete naer Tombrouck 
Tulpenpark,
Walleweg,Eyerstraetken 
Walleweg,Heyestraete 
Walleweg,  
Walleweg,Knokstraat 
Weimeerslaan,
Woonwagen,
Inschrijving zonder adres,
Barend van Orlystraat,Zie ook Barend van Orleystraat
Koning Albertstraat, de France
Albrecht Rodenbachlaan,Albrecht Rodenbachlaan
Antoon Van Liedekerkeweg,Voorzienigheidstraat 
Gullegemsesteenweg,Stationsstraat 
Gullegemsesteenweg,Gullegemsesteenweg 
Michel Vandewielestraat,Stationsstraat 
Kokuitplein,Stationsplein 
Vlaswaagplein,Stationsplein 
Antoon Van Dijcklaan,Van DijcklaanCuerne TheyswegTheysweg
Nieuwe_straat,Oude straat
