nieuwe straatnaam,oude straatnamen
Lange Steenstraat,la de Piere kon dixt le stienstratae 
Lange Steenstraat,Langhesteenstrate 
Leeuw van Vlaanderenlaan,Raikem's Dreve 
Leiegalm,
Leiekant,
Leiestraat,Mansura iacens in vico de Lisa 
Leiestraat,In de leye strate 
Lekkerbeetstraat,Stockelstraetkin 
Lekkerbeetstraat,StockerstrateWeduwenstrate 
Lekkerbeetstraat,Leckerbeetstraetjen 
Lentedreef,
Leo Baekelandlaan,
Leonard Vandorpestraat,
Liefdeweg, 
Lijnwaadstraat,Voetweg 
Lijsterlaan,
Lindenlaan,Lindelei 
Lizernelaan,Lizernelei 
Lode de Boningelaan,
Loncinstraat,
Loodwitstraat,de Céruse 
Loofstraat,
Louis Pasteurlaan,
Louis Robbeplein,Carrefour de Lille of Rijselsewijk 
Louis Robbeplein,Louis Robbeplaats 
Louis Verweestraat,Verweestraat 
Luipaardstraat,Luppaertstraet 
Luipaardstraat,Luypaertstraet
Lupinestraat,
Maandagveld,
Maandagweg,Maendagweg   
Maandagweg,Schietspoele 
Magdalenastraat,Heirstrate
Magdalenastraat,Markestraat 
Maidenheadlaan,
Manpad, 
Manpadstraat,Manpade 
Manpadstraat,Manpat
Manpadstraat, 
Marconilaan,
Marie Curielaan,
Marionetten,
Marionetten,Rollegemse Kalsijde of   
Marionetten,Rollegemsteenweg
Marksesteenweg,Heirstrate van Rijssel 
Marksesteenweg,Marktstraat
Maurits Maeterlincklaan,
Meensesteenweg,Meensesteenweg
Meensestraat,In vico de Bisseghem 
Meensestraat,Bisseghemstrate 
Meensestraat,Bisseghemstraete 
Meensestraat,de Menin 
Meersstraat,Meerschstraat
Meikeversstraat,
Meiweg,Meyeweg of   
Meiweg,Rode Dreef 
Merellaan,
Merkemstraat,
Mimosalaan,
Minister A. De Clercklaan,Minister De Clercklaan 
Minister De Taeyelaan,Alfred De Taeyelaan 
Minister Lefevrelaan,
Minister Liebaertlaan,Oostlaan
Minister Tacklaan,MidiZuidenboulevard 
Minister Tacklaan,ZuidlaanPieter Tacklaan 
Minister Vanden Peereboomlaan,Peereboomlaan 
Modest Huyslaan,
Monseigneur De Haernelaan,
Moorseelsestraat,QYperstraet 
Moorseelsestraat,Chemin de Terre à Gulleghem 
Moorseelsestraat,"Mooselestraet , Oude Yperstraet of  Moorselestraat "
Morgenzon,
Morinnegoed,
Morinnestraat,Morinestraetken 
Morinnestraat,Moorinnestraet of   
Mosselbank,
Munkendoornstraat,
Nachtegaallaan,
Narcissenlaan,
Neder Mosscher,Neder Mosscherstraat 
Nedervijver,
Neringenplein,
Nieuwpoortstraat,
Nieuwstraat,Nyenstraete 
Nieuwstraat,Oude Nieuwstraat 
Nijverheidskaai,Baene of  Waegeweg van Casimirus 
Noordstraat,
Noteboomlaan,
Olmenlaan,
O.-L.-Vrouwestraat,In onser Vrauwen Strate 
O.-L.-Vrouwestraat,In loco dudum appellato Houden Casteel nunc vocato Onse Vrauwestrate 
O.-L.-Vrouwestraat,"Vrauwestraete , O.L.Vrouestraete , Onse L. Vrauwestrate "
Open Veld,
Oude Kasteelstraat,Nieuwe Straete beiden Nieuwen Aerde 
Oude Kasteelstraat,Nieuwe Strate jeghen over den blinde muur van de Castele 
Oude Kasteelstraat,Rechtover de Casteelmuer 
Oude Kasteelstraat,Lage Kasteelstraete 
Oude Kasteelstraat, de Jena 
Oudenaardsesteenweg,Strate van Cortryck nar Sweveghem 
Oudenaardsesteenweg,Steenwegh naer Sweveghem 
Oudenaardsesteenweg,Audenaardschestwg. 
Oudenaardsesteenweg,Oudenaardesteenweg
Oude-Vestingsstraat,Groenestraet  
Oude-Vestingsstraat,Wandeling tussen de Rijsselpoort en Waterpoortjen 
Oude-Vestingsstraat, des vieux Remarts 
Overbekeplein,Curtraci ultra Becam 
Overleiestraat,In vico ultra Lisam 
Overleiestraat,Leystrate 
Overleiestraat,Voorstraete 
Overleiestraat,Rechtestraete 
Overleiestraat,Grootestraete 
Overleiestraat,Basse Ville 
Overleiestraat,Overleie 
Overleiestraat,Guillelmusstraat 
Overleiestraat,Groote Leystraete 
Overleiestraat," Basse Ville , Overleiestraat "
Paleisstraat,
Palmboomlaan,
Pannebakkersstraat,
Panoramaweg,Bellegemscken Voetweg of    
Papenstraat,In vico qui dicitur presbiterorum 
Papenstraat,Papenstraete 
Papenstraat,Priesterstraete 
Papenstraat,Papegaaistraat -  du Perroquet 
Parkietenlaan,Albrecht Rodenbachlaan 
Paschier Lamertijnstraat,
Passionistenlaan,
Pater Beckstraat,
Pater Damiaanpad,
Pater Damiaanstraat,
Pater Davidstraat,Pater Jan Davidstraat 
Patersmotestraat,
Pater Vandeputteplein,
Peereboomstuk,
Pervijzestraat,
Perziklaan,
Peter Benoitstraat,Greffiestraat 
Pieter de Cockelaerestraat,Cokelare straetkin 
Pieter de Cockelaerestraat,Kabelstraetkin 
Pieter de Cockelaerestraat,Cockelaerstraete 
Pieter de Conincklaan,Pieter Deconincklaan 
Pieter Pauwel Rubensplein,Rubensplein 
Pijlstraat, de la Flêche 
Plataanlaan,
Plein ,Esplanade 
Pluimstraat,
Populierenlaan,
Pottelberg,Strate van Tourcoing 
Pottelberg,Route vers Lille 
Pottenbakkershoek,
Potterijstraat,Vuyle Nieuwstraete of Nieuwe Vuylstraet 
Potterijstraat, Neuve du Moulin 
Potterijstraat, de la Poterie 
President Kennedylaan,John Kennedylaan 
President Kennedypark,
President Rooseveltplein,Exercitieplaetse 
President Rooseveltplein,Wapenplaats 
President Rooseveltplein,F.D.Rooseveltplein 
Priester Schrursstraat,
Prinses Marie-Joséplein,Marie - Joséplaats 
Proosdijstraat,
Pypestraat,Schaepdreve 
Pypestraat,Puijpstratjen 
Pypestraat,Groote Pypestraet 
Radijzenstraat,
Ramen,
Ramskapellestraat,
Reepkaai,Quai des Hospices 
Reepkaai,Hospitaalkaai 
Reigersvliet,
Rekollettenstraat,Cloosterstraetken 
Rekollettenstraat,Straetkin alsoe men gaet ter Cloester waert 
Rekollettenstraat,Cloosterstraetken 
Rekollettenstraat,Frére Mineurstraetjen 
Rekollettenstraat,Grauwe Broerstraetkin 
Rekollettenstraat,Recolettestratien 
Rekollettenstraat,Recollettenstraat
Renaat De Rudderlaan,
Rijkswachtstraat,Gendarmeriestraat 
Rijselsestraat,In vico Insulensi 
Rijselsestraat,La  de Lille 
Rijselsestraat,Riselstrate 
Rijselsestraat,Rijselstraat
Ringlaan,
Robert Deltourlaan,
Ronksdreef,Roncksdreve 
Ronksdreef,Rounckxdreve 
Ronksdreef,Valerius De Saedeleerlaan 
Roeland Saverystraat,Rijsselpoortvesting 
Roeland Saverystraat,Savarystraat 
Roggelaan,Roggestratcken 
Roggelaan,Roggestraat  of   
Roggeveld,
Rollegemknokstraat,Elleboogstratken 
Rollegemknokstraat,ElleboogstraatKnokstraat 
Rollegemseweg,Strate naer Corterijck 
Rollegemseweg,Strate van Rolleghem nar Cortryck 
Rollegemseweg,Rolleghemstraete 
Rollegemseweg,Kortrijksche Kalsijde 
Rollegemseweg,Kortrijkstraat 
Rollegemseweg,Schepenhuisstraat 
Rollegemseweg,Rollegemseweg 
Romeinselaan,
Roterijstraat, De Rouissage 
Roterijstraat,Theysweg 
Rozenlaan,
Ruitersweg,
Saint-Cloudlaan,
Schaapsdreef,Schaepdreve of   
Schaapsdreef,Schaapdreef 
Schaekenstraat,
Schepen Duyckstraat,
Schepen Ghyootstraat,
Schepen Lagaestraat,
Scheutistenlaan,
Schietspoelstraat,
Schildersstraat,
Schippersstraat,
Schoolpartje,
Schoorbakkestraat,
Schouwburgplein,Kunststraat 
Schouwburgplein,Schouwburgstraat 
Schouwburgplein,Beestemarct 
Schouwburgplein,Lentemarct 
Schouwburgplein,Comedieplaats 
Schouwburgplein,Havermarkt 
Schouwburgplein,Grote Hallenstraat 
Schouwburgstraat,Zie Schouwburgplein
Schuddevisstraat,Ser Alaert FabelstraetkinAlaerds Fabels Straetkin 
Schuddevisstraat,Sher Halaerds Fabel Straetkin 
Schuddevisstraat,Favereelstraetjen 
Schuddevisstraat,Schuddevischstraetien 
Schuddevisstraat,Stegherstraetken 
Schuddevisstraat,Straetken achter ' t Stegherken Vissenstraatje en  Vissens 
Schuttersstraat,Loodwitstraat 
Schuttersstraat,Huidevetterstraat 
Senator Bossuytstraat,Gaston Bossuytstraat 
Senator Claysstraat,
Senator Coolestraat,Joseph Coolestraat 
Seringlaan,
Simon Stevinstraat,
Sint-Amandslaan,In Vico Johannis Couke 
Sint-Amandslaan,Johannes Couckestraat 
Sint-Amandslaan,Coucstrate 
Sint-Amandslaan,Couckstraetken 
Sint-Amandslaan,Kouckstrate 
Sint-Amandslaan, dit Couckstraete 
Sint-Amandslaan, du Gâteau 
Sint-Amandslaan,Taartestraat 
Sint-Amandsplein,"Vrijdagmarkt  , Place Vrijdagmarkt "
Sint-Amandsplein,"Sint-Amandsplaats , Place Sint-Amand "
Sint-Anna,Lerberchstrate 
Sint-Anna,Strate van Curtricke naer den Lerberchboom 
Sint-Anna,Chemin allant de Courtray a la Creupele 
Sint-Anna,Lerbergstraete 
Sint-Anna,Sint Anna Straete 
Sint-Anna,Sint Annastraet of   
Sint-Annabeluik,
Sint-Antoniusstraat,
Sint-Denijsestraat,Sendenysschestrate 
Sint-Denijsestraat,Sint Denysstraete 
Sint-Denijsestraat,Sint Denijsstraat 
